Date,Open,High,Low,Close
01/06/2025,"108.92","109.07","107.75","108.26"
01/03/2025,"109.20","109.22","108.90","108.95"
01/02/2025,"108.53","109.53","108.27","109.39"
01/01/2025,"108.09","108.58","107.87","108.49"
12/31/2024,"108.09","108.58","107.87","108.49"
12/30/2024,"108.01","108.38","107.74","108.13"
12/27/2024,"108.08","108.20","107.87","108.00"
12/26/2024,"108.17","108.30","108.03","108.13"
12/25/2024,"108.16","108.30","107.92","108.26"
12/24/2024,"108.16","108.30","107.92","108.12"
12/23/2024,"107.82","108.28","107.68","108.04"
12/20/2024,"108.48","108.54","107.59","107.62"
12/19/2024,"108.10","108.49","107.82","108.41"
12/18/2024,"106.93","108.27","106.82","108.03"
12/17/2024,"106.82","107.08","106.70","106.96"
12/16/2024,"106.95","107.17","106.75","106.86"
12/13/2024,"106.97","107.19","106.72","107.00"
12/12/2024,"106.57","107.04","106.35","106.96"
12/11/2024,"106.37","106.81","106.27","106.71"
12/10/2024,"106.18","106.64","106.04","106.40"
12/09/2024,"105.97","106.21","105.80","106.15"
12/06/2024,"105.79","106.16","105.42","106.06"
12/05/2024,"106.34","106.37","105.70","105.71"
12/04/2024,"106.43","106.72","106.09","106.32"
12/03/2024,"106.48","106.60","106.09","106.37"
12/02/2024,"105.83","106.73","105.82","106.45"
11/29/2024,"105.95","106.13","105.62","105.74"
11/28/2024,"106.82","106.92","105.86","106.08"
11/27/2024,"106.82","106.92","105.86","106.08"
11/26/2024,"107.49","107.50","106.49","107.01"
11/25/2024,"107.49","107.25","106.58","106.82"
11/22/2024,"107.06","108.07","106.92","107.55"
11/21/2024,"106.59","107.16","106.46","106.97"
11/20/2024,"106.12","106.92","106.11","106.68"
11/19/2024,"106.26","106.63","106.11","106.21"
11/18/2024,"106.67","106.81","106.13","106.28"
11/15/2024,"106.90","106.96","106.33","106.69"
11/14/2024,"106.50","107.06","106.38","106.67"
11/13/2024,"106.02","106.54","105.72","106.48"
11/12/2024,"105.49","106.18","105.49","106.02"
11/11/2024,"105.01","105.71","104.93","105.54"
11/08/2024,"104.45","105.21","104.34","105.00"
11/07/2024,"105.16","105.25","104.19","104.51"
11/06/2024,"103.70","105.44","104.04","105.09"
11/05/2024,"103.91","103.96","103.37","103.42"
11/04/2024,"103.93","103.97","103.58","103.89"
11/01/2024,"103.86","104.35","103.68","104.28"
10/31/2024,"104.09","104.22","103.82","103.98"
10/30/2024,"104.25","104.44","103.98","103.99"
10/29/2024,"104.31","104.64","104.21","104.32"
10/28/2024,"104.32","104.57","104.12","104.32"
10/25/2024,"104.05","104.34","103.94","104.26"
10/24/2024,"104.43","104.46","104.01","104.06"
10/23/2024,"104.09","104.57","104.09","104.43"
10/22/2024,"103.97","104.13","103.82","104.08"
10/21/2024,"103.48","104.02","103.42","104.01"
10/18/2024,"103.81","103.81","103.46","103.49"
10/17/2024,"103.56","103.87","103.44","103.83"
10/16/2024,"103.26","103.61","103.17","103.59"
10/15/2024,"103.21","103.35","103.03","103.26"
10/14/2024,"102.93","103.36","102.93","103.30"
10/11/2024,"102.88","102.99","102.77","102.89"
10/10/2024,"102.88","103.18","102.72","102.99"
10/09/2024,"102.49","102.94","102.46","102.93"
10/08/2024,"102.46","102.64","102.29","102.55"
10/07/2024,"102.49","102.62","102.37","102.54"
10/04/2024,"101.91","102.69","101.81","102.52"
10/03/2024,"101.64","102.10","101.63","101.99"
10/02/2024,"101.24","101.69","101.16","101.68"
10/01/2024,"100.74","101.39","100.70","101.19"
09/30/2024,"100.44","100.92","100.18","100.78"
09/27/2024,"100.59","100.88","100.16","100.38"
09/26/2024,"100.93","100.97","100.48","100.91"
09/25/2024,"100.28","100.99","100.22","100.91"
09/24/2024,"100.97","101.05","100.34","100.47"
09/23/2024,"100.74","101.23","100.72","100.85"
09/20/2024,"100.69","101.02","100.41","100.72"
